,j,v,c
aero,21,21,22
smarties,23,24,9
kitkat,22,18,17
sweedish fish,3,6,4
sweedish berries,4,7,2
skittles,1,2,5
sour patch ,2,3,2
fuzzy peaches,3,2,3
rocket like,14,18,17
sour punch,1,2,0
kinder chocolates ,5,5,1
crispy crunch ,2,2,2
coffee crsip,17,14,10
o henry,3,4,5
wonderbar,1,2,7
mr big,2,1,5
herseys ,4,3,0
twix,7,2,2
starbursst,5,10,2
twizlers,3,3,0
toottsie rolls,4,5,7
caramels,3,5,3
lollipops,9,8,9
snickers,14,6,7
caramilk,2,0,5
mars,4,2,6
popeyes,1,1,
reeces,5,3,7
cookies and bars,4,4,2
chips an dpopcorm,15,13,7
m&m,13,17,14
full size,1,1,3
fizz,0,0,2
gum,1,1,7
foil chocolate,0,0,3
airheads,0,0,2
poprocks,0,0,0
